hrm_mean,hrm_min,hrm_max,hrm_med,hrm_var,hrm_kurtosis,hrm_skew,hrm_p10,hrm_p90,accel_mean,accel_min,accel_max,accel_med,accel_var,accel_kurtosis,accel_skew,accel_p10,accel_p90,label
69.933,69.0,70.0,70.0,0.062,10.071,-3.474,70.0,70.0,10.061,7.468,15.431,9.846,1.875,6.049,2.051,9.319,12.036,awake
68.8,67.0,70.0,69.0,0.627,0.519,-0.839,67.9,70.0,9.853,9.379,11.313,9.826,0.087,17.241,3.808,9.735,9.893,awake
69.0,69.0,69.0,69.0,0.0,-3.0,0.0,69.0,69.0,9.961,7.548,12.592,9.794,0.727,3.787,0.925,9.558,10.834,awake
69.0,69.0,69.0,69.0,0.0,-3.0,0.0,69.0,69.0,10.233,7.805,14.712,9.768,2.182,2.021,1.463,9.088,12.047,awake
68.467,66.0,70.0,69.0,1.316,-0.556,-0.448,67.0,70.0,9.742,9.193,9.861,9.769,0.012,17.149,-3.989,9.697,9.801,awake
68.733,68.0,69.0,69.0,0.196,-0.886,-1.055,68.0,69.0,10.189,8.5,13.116,9.776,0.77,2.501,1.438,9.709,11.304,awake
69.0,69.0,69.0,69.0,0.0,-3.0,0.0,69.0,69.0,10.441,8.171,14.683,10.108,1.739,2.672,1.448,9.371,11.77,awake
72.567,69.0,75.0,75.0,8.512,-1.831,-0.398,69.0,75.0,9.955,8.075,12.564,9.836,0.786,2.235,1.075,9.227,10.722,awake
73.933,71.0,75.0,75.0,2.062,-0.637,-0.964,71.9,75.0,9.787,9.318,10.063,9.815,0.023,2.811,-1.379,9.686,9.914,awake
69.367,68.0,71.0,69.0,1.166,-1.157,0.346,68.0,71.0,9.79,9.663,10.032,9.784,0.005,2.059,1.076,9.714,9.851,awake
65.267,64.0,68.0,65.0,1.262,0.299,1.014,64.0,67.0,9.766,9.505,10.027,9.762,0.008,2.488,0.114,9.69,9.848,awake
65.8,62.0,69.0,65.5,8.027,-1.695,-0.025,62.0,69.0,9.786,9.697,9.909,9.79,0.002,0.789,0.336,9.736,9.826,awake
63.567,61.0,65.0,64.0,2.179,-1.401,-0.41,61.9,65.0,9.78,9.616,9.89,9.785,0.002,2.958,-1.041,9.739,9.828,awake
62.967,61.0,67.0,62.5,4.832,-0.704,0.852,61.0,67.0,9.781,9.672,9.852,9.787,0.002,0.041,-0.727,9.737,9.83,awake
65.633,64.0,67.0,65.0,1.032,-1.377,0.399,65.0,67.0,9.767,9.498,9.884,9.792,0.009,3.997,-2.261,9.718,9.821,awake
68.0,67.0,69.0,68.0,0.133,4.5,0.0,68.0,68.0,9.829,9.716,10.604,9.794,0.029,12.773,3.674,9.734,9.823,awake
68.7,68.0,69.0,69.0,0.21,-1.238,-0.873,68.0,69.0,9.761,9.632,9.812,9.768,0.001,3.368,-1.615,9.73,9.797,awake
68.833,68.0,69.0,69.0,0.139,1.2,-1.789,68.0,69.0,9.797,7.483,12.645,9.845,0.703,5.359,-0.041,9.472,10.324,awake
69.0,69.0,69.0,69.0,0.0,-3.0,0.0,69.0,69.0,11.081,4.242,19.558,10.449,7.832,1.928,0.724,8.608,13.776,awake
71.0,69.0,77.0,70.0,7.133,-0.101,1.165,69.0,76.0,9.877,9.744,11.679,9.777,0.142,15.268,4.005,9.76,9.82,awake
67.567,65.0,70.0,66.0,3.646,-1.697,0.4,66.0,70.0,9.891,9.76,12.102,9.785,0.181,21.454,4.73,9.766,9.857,awake
65.7,65.0,66.0,66.0,0.21,-1.238,-0.873,65.0,66.0,9.833,9.791,9.875,9.84,0.0,-0.651,-0.497,9.8,9.853,awake
68.333,66.0,70.0,68.5,2.289,-1.31,-0.344,66.0,70.0,9.827,9.692,9.886,9.836,0.002,2.981,-1.519,9.79,9.863,awake
68.5,67.0,70.0,68.5,1.85,-1.813,0.0,67.0,70.0,9.786,7.781,10.546,9.836,0.16,18.598,-3.99,9.798,9.876,awake
66.267,65.0,67.0,67.0,0.929,-1.694,-0.553,65.0,67.0,10.035,9.794,13.37,9.883,0.433,19.274,4.476,9.861,9.902,awake
65.567,65.0,67.0,65.0,0.712,-0.916,0.955,65.0,67.0,9.846,8.389,11.874,9.857,0.335,4.168,0.842,9.209,10.197,awake
67.967,67.0,68.0,68.0,0.032,25.034,-5.199,68.0,68.0,9.778,7.627,10.905,9.726,0.25,9.612,-2.067,9.643,10.343,awake
65.7,62.0,68.0,67.5,7.01,-1.616,-0.472,62.0,68.0,9.713,9.658,9.782,9.712,0.001,0.939,0.567,9.678,9.738,awake
61.7,61.0,62.0,62.0,0.21,-1.238,-0.873,61.0,62.0,9.647,8.116,10.148,9.711,0.171,7.797,-2.864,9.522,9.909,awake
64.333,63.0,65.0,64.0,0.289,-0.781,0.048,64.0,65.0,9.855,9.682,10.998,9.77,0.065,10.929,3.263,9.737,10.127,awake
64.0,62.0,65.0,65.0,1.6,-1.281,-0.692,62.0,65.0,9.807,9.697,10.292,9.788,0.009,19.386,4.367,9.769,9.811,awake
62.333,62.0,63.0,62.0,0.222,-1.5,0.707,62.0,63.0,9.765,9.128,9.967,9.793,0.021,10.438,-2.986,9.727,9.846,awake
58.9,56.0,62.0,59.0,3.423,-0.809,0.336,56.9,62.0,9.794,9.624,9.828,9.799,0.001,12.744,-3.293,9.779,9.824,awake
61.333,57.0,66.0,61.0,5.356,0.234,-0.005,57.0,65.0,9.802,9.774,9.841,9.798,0.0,-0.465,0.611,9.783,9.828,awake
65.3,63.0,66.0,66.0,1.21,-0.147,-1.214,63.0,66.0,9.802,9.67,10.002,9.796,0.002,9.964,1.894,9.778,9.82,awake
63.967,62.0,65.0,64.0,0.832,-1.256,-0.198,63.0,65.0,9.779,9.722,9.82,9.782,0.0,0.171,-0.467,9.754,9.801,awake
63.133,61.0,64.0,63.5,0.916,-1.249,-0.497,62.0,64.0,9.778,9.684,9.857,9.778,0.001,2.166,-0.56,9.745,9.811,awake
63.133,62.0,64.0,63.0,0.382,-0.463,-0.093,62.0,64.0,9.781,9.72,9.842,9.783,0.001,0.869,0.124,9.754,9.807,awake
64.533,64.0,66.0,64.0,0.516,-0.449,0.964,64.0,66.0,9.795,9.265,10.168,9.78,0.018,7.423,-1.028,9.76,9.958,awake
